0	3
1	2
2	3
3	36
4	4
5	3
6	3
7	21
9	5
10	4
11	5
12	7
13	6
14	2
15	2
16	1
17	6
18	4
19	4
20	1
21	4
23	5
24	3
25	1
26	7
27	2
29	11
30	8
31	3
32	1
34	1
35	7
36	46
37	7
38	3
40	61
41	3
42	13
43	3
45	3
46	2
47	7
49	11
50	3
51	2
53	1
54	3
56	3
57	1
58	1
60	1
61	3
62	2
65	1
66	3
67	1
68	1
69	1
70	2
72	2
74	1
75	7
76	4
77	2
78	2
79	1
80	12
82	1
83	6
84	1
87	2
88	3
89	2
92	1
95	4
97	2
99	1
102	20
103	1
105	2
106	1
108	15
109	7
112	5
115	1
116	19
118	1
123	10
124	2
125	1
131	1
132	3
133	1
134	2
136	3
140	3
143	2
144	3
145	7
146	1
147	6
148	2
149	10
150	1
151	3
152	5
154	2
156	4
157	8
158	2
159	51
160	5
161	2
162	2
163	2
164	1
167	5
168	12
169	1
170	5
171	4
173	6
174	5
175	1
176	19
177	1
178	1
179	1
180	6
182	6
183	4
184	2
185	1
187	1
188	4
189	3
190	2
191	5
193	1
195	6
197	1
199	2
200	3
204	1
207	8
208	8
209	4
210	19
211	5
212	17
214	4
215	1
217	8
218	1
219	5
220	7
221	1
222	1
223	5
224	1
225	2
226	10
227	1
228	1
229	15
230	2
232	2
233	1
235	2
236	6
237	9
238	2
240	4
241	3
242	2
246	3
248	6
250	6
252	1
253	2
254	2
255	3
256	1
257	1
258	1
262	3
263	3
264	12
265	2
267	3
268	2
269	4
270	1
275	2
277	3
279	2
280	4
281	2
282	3
284	1
289	2
291	1
297	2
298	7
299	2
300	3
301	4
303	5
308	2
317	6
320	6
321	1
324	7
327	2
330	1
332	1
334	2
335	1
336	3
342	1
344	2
347	1
349	7
354	1
355	2
358	1
370	3
375	3
376	2
378	2
381	2
386	2
387	4
389	3
405	23
408	1
412	3
417	4
418	3
419	4
420	1
424	1
426	1
428	1
429	1
430	2
446	10
449	5
460	2
465	1
469	1
471	1
486	2
490	3
492	1
493	6
499	1
502	1
511	1
527	2
531	1
537	2
546	3
44	120
553	8
554	16
557	3
560	1
562	1
563	1
564	3
566	1
567	2
568	13
569	1
570	3
572	2
574	1
575	1
577	1
582	3
584	1
586	1
587	1
589	3
590	2
594	1
595	2
597	1
605	1
614	4
615	1
619	1
542	1
620	8
624	3
625	2
626	1
627	3
628	2
630	2
631	1
632	1
633	2
636	6
638	6
639	7
641	6
643	1
644	3
646	13
647	4
651	16
652	24
653	5
654	16
655	1
656	3
658	10
661	5
662	3
668	2
670	2
671	1
672	1
673	1
675	1
676	5
677	5
678	1
679	4
680	10
686	4
688	1
689	1
691	3
692	1
697	7
701	2
703	1
709	1
710	1
714	2
716	2
717	2
719	7
721	5
722	2
727	2
730	13
731	3
736	5
737	1
738	4
745	5
746	9
747	13
748	1
749	2
752	4
753	11
754	87
755	7
756	3
757	1
759	9
760	3
761	1
762	4
766	1
768	1
773	11
779	1
785	1
788	1
790	1
794	1
795	1
816	1
832	1
833	17
834	3
835	4
836	2
818	3
853	13
854	4
857	1
865	2
866	2
667	1
876	5
878	6
879	1
880	1
883	3
885	1
887	5
888	5
890	1
891	1
892	2
894	1
896	3
901	4
904	1
905	2
908	2
912	2
915	2
916	1
920	1
922	3
924	1
925	1
927	14
936	2
945	2
946	1
947	3
948	18
949	1
950	2
467	5
659	1
958	1
959	5
960	3
962	1
963	1
967	4
969	5
970	9
973	2
977	4
979	1
980	1
981	2
984	1
987	1
991	1
993	1
995	2
1000	2
1001	1
1002	1
1003	1
1004	1
1005	2
1007	1
1010	1
1012	1
1013	2
1017	2
1027	1
1029	2
1037	1
1045	1
1047	1
1051	1
1063	1
1067	5
1069	3
1074	6
1075	1
1076	15
1077	2
1080	3
1082	14
1083	6
1087	1
1092	2
1093	4
1094	4
1096	1
1097	4
1099	3
1100	10
1104	2
1106	3
1109	3
1110	3
1111	1
1117	1
1118	1
1120	2
1122	1
1123	1
1124	2
1128	2
1134	1
315	1
